"","Gene","Correlation","P_value","SYMBOL","fdr"
"6166","105370784",0.0130498581614473,0.881487321831968,"LOC105370784",0.933227682623325
"6167","105370785",0.0440495784754884,0.61464528628767,"LOC105370785",0.749124360834951
"6168","105370786",0.120251100305018,0.167980713608909,NA,0.306863280463745
"6169","105370787",0.0588446410166492,0.501070076818354,"LOC105370787",0.656718428873718
"6170","105370789",0.0419238094680207,0.631841977294578,"LOC105370789",0.762502000116614
"6171","105370790",0.0568725651148191,0.515548942852521,"LOC105370790",0.669776103421271
"6172","105370791",-0.0780338078694989,0.371965707084782,"LOC105370791",0.538131380753253
"6173","105370792",0.221737373761158,0.010315320761889,"LOC105370792",0.0319759513071421
"6174","105370794",-0.0167202820507914,0.848509240017168,"LOC105370794",0.911284091283644
"6175","105370795",-0.251583301467169,0.00348743021915918,"VPS39-DT",0.0125588396162096
"6176","105370798",0.0680852663679769,0.436162354296384,"LOC105370798",0.598443846880724
"6177","105370802",-0.188312920025174,0.0299546109737051,"LOC105370802",0.0788109094940617
"6178","105370803",-0.0165067116476512,0.850421536676513,"LOC105370803",0.912362933830981
"6179","105370804",0.104607049473825,0.230803961828053,"LOC105370804",0.386167692520469
"6180","105370807",0.207079692627304,0.0167750873094321,"CTXN2-AS1",0.0485081802574158
"6181","105370809",0.134172572461328,0.123629052988353,"FBN1-DT",0.244865285596286
"6182","105370811",0.240484616845622,0.00529910356383916,"LOC105370811",0.0180313092941966
"6183","105370816",-0.118885756277218,0.172896872221119,"LOC105370816",0.312255655494384
"6184","105370819",0.100999034078273,0.247377184914907,"LOC105370819",0.405941001882635
"6185","105370821",0.0793426940200554,0.363973569837695,"LOC105370821",0.530690751167045
"6186","105370824",-0.0566909829301492,0.516892817514413,"LOC105370824",0.670085168028929
"6187","105370831",0.102325447946805,0.241191169737171,NA,0.398411472590761
"6188","105370832",0.230684113195673,0.00755362303859697,"LOC105370832",0.0244530292391839
"6189","105370833",0.175304131080516,0.0435621510832697,"LINC03065",0.107274708951046
"6190","105370834",-0.0969307082343678,0.267032026237219,"LOC105370834",0.430397834909398
"6191","105370841",0.00255278760278394,0.976735123702112,"LOC105370841",0.987697626005466
"6192","105370842",0.12156526174852,0.163347576659674,NA,0.300953114677049
"6193","105370844",0.148996198401193,0.0869600644053104,"LOC105370844",0.187870456468526
"6194","105370846",0.131746439227856,0.130628240462822,"LOC105370846",0.254988414344002
"6195","105370849",0.224972224649183,0.0092282936326451,NA,0.0290352347394174
"6196","105370850",0.0600971611027155,0.491985985490103,NA,0.648559786681205
