"","2305","11004","Sample","Age"
"90",6.8923910259134,6.32066518412251,"GSM3124649",20
"91",6.43596189543763,4.99503219247754,"GSM3124650",20
"92",7.07253459972295,6.56254772419912,"GSM3124651",31
"93",6.36632221424582,6.03210084316702,"GSM3124652",31
"94",5.99774402605963,5.88849973551412,"GSM3124653",32
"95",6.54365053798355,6.21742461381398,"GSM3124654",32
"96",6.29609026268396,4.78816365703777,"GSM3124655",33
"97",6.64327899631198,6.29241366782748,"GSM3124656",33
"98",7.13134253912326,6.66959375118833,"GSM3124657",37
"99",6.8923910259134,6.55182359572126,"GSM3124658",37
"100",6.67948009950545,6.15805421312231,"GSM3124659",37
"101",5.83819543925919,5.18348651445939,"GSM3124660",39
"102",5.93380866199012,5.12763327972587,"GSM3124661",51
"103",7.18388345903223,6.87159726561385,"GSM3124662",52
"104",5.62877359520165,4.34340782229781,"GSM3124663",55
"105",6.39660478118186,5.95814667376272,"GSM3124664",57
"106",6.13093086982645,5.32804655627074,"GSM3124665",60
"107",5.89093302170554,4.34695688937888,"GSM3124666",71
"108",6.33145442828201,5.90881290773955,"GSM3124667",75
"109",6.53200519379057,6.18070484019556,"GSM3124668",78
"110",6.5461227588578,6.0496307677246,"GSM3124669",80
"111",5.86393845042397,4.55274593674845,"GSM3124670",94
"112",5.48607074373567,4.26753579806874,"GSM3124671",89
"113",4.09085343045111,2.71281585443737,"GSM3124672",87
"114",3.56437816856506,3.270229907238,"GSM3124673",90
"115",4.52230689287139,2.90573597766703,"GSM3124674",89
"116",2.45259543470287,0.852478323642387,"GSM3124675",86
"117",4.70653055253812,3.35867757131523,"GSM3124676",92
"118",4.06953032516231,3.1073530984483,"GSM3124677",87
"119",7.16289479937478,6.4432751117658,"GSM3124678",22
"120",6.42004442035417,5.68453824857773,"GSM3124679",25
"121",6.14425035619052,5.0360636887437,"GSM3124680",29
"122",6.85424505422013,5.71945727459875,"GSM3124681",24
"123",6.33931557241328,5.42559357765306,"GSM3124682",23
"124",4.98686597232911,3.67807190511264,"GSM3124683",26
"125",6.86542397831313,6.18050594379476,"GSM3124684",21
"126",2.95680011805158,2.37517847958961,"GSM3124685",67
"127",4.41481206056585,3.92314918047231,"GSM3124686",67
"128",4.17472598770613,3.33699741660501,"GSM3124687",68
"129",6.51853513898218,5.93545974780529,"GSM3124688",82
"130",6.43629511983936,5.34127418369217,"GSM3124689",66
"131",4.80426011563474,3.9429835981871,"GSM3124690",68
"132",6.06263982828646,5.13298804262744,"GSM3124691",70
"133",6.97384083953315,5.97842446544086,"GSM3124692",69
