"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",29,0.682634609323479,1.96369991318446,0.000116659821574367,0.000530271916247124,0.000312581340103568,1862,"tags=48%, list=15%, signal=41%","CCND2/VCAN/SPP1/LUM/VEGFA/POSTN/COL3A1/TIMP1/ITGAV/APP/COL5A2/OLR1/FSTL1/JAG2"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",128,0.443234658263313,1.65132576314666,0.000618347412134392,0.00257644755055997,0.00151874802980377,3389,"tags=44%, list=27%, signal=32%","CD36/PCSK9/DPP4/IL6/SERPINB2/CFB/CDH13/CPQ/CD55/CFH/C1S/ZFPM2/CASP10/CTSO/LGALS3/SERPING1/F10/TIMP1/CTSH/C1R/CD46/LGMN/CTSD/FYN/LAMP2/CBLB/MAFF/F3/CTSS/FN1/OLR1/LIPA/LRP1/AKAP10/PIK3CA/ANXA5/SERPINE1/GNB4/VCPIP1/ATOX1/PLA2G4A/ADAM9/PRCP/CEBPB/CTSB/C3/PIM1/S100A13/COL4A2/PREP/MMP15/CLU/STX4/USP16/GNG2/PRKCD"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",68,-0.460430374292928,-1.72282523842499,0.00083390172858943,0.00320731434072858,0.00189062740085053,885,"tags=24%, list=7%, signal=22%","NEFH/PARP2/RPL39L/DMC1/CAMK4/RFC4/EZH2/BUB1/DBF4/CCNB2/TTK/CDKN3/CDK1/NEK2/KIF2C/AURKA"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",124,0.43116892618471,1.60245005524873,0.00266716580927429,0.00952559217597961,0.00561508591426167,2477,"tags=37%, list=20%, signal=30%","ITGB2/CPE/CCND2/SPP1/KCNN4/APOD/GPNMB/SATB1/ITGBL1/ANGPTL4/CFB/CFH/IGFBP3/ALDH1A3/INHBA/GPRC5B/KLF4/FUCA1/LY96/CAB39L/TSPAN1/MAP7/RELN/EVI5/CTSS/HDAC9/RBP4/GFPT2/TNFRSF1B/ANKH/IL1B/SOX9/ZNF277/TFPI/CDADC1/TRIB2/BPGM/SNAP25/EMP1/ID2/MAP3K1/CLEC4A/GNG11/PRKG2/ADAM17/LAPTM5"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",167,0.388441882962964,1.49693013131969,0.00514517491776628,0.0171505830592209,0.0101098173822776,3451,"tags=44%, list=28%, signal=33%","CCND2/CLCA2/CDKN2B/IFI30/NDRG1/CDKN2A/CDH13/FOS/NUPR1/TGFA/KLF4/TPD52L1/FUCA1/PTPRE/TXNIP/ANKRA2/IER3/TSC22D1/PLK2/CTSF/APP/ATF3/CTSD/DDIT4/ABHD4/TNFSF9/MDM2/ADA/SESN1/RPS27L/TSPYL2/INHBB/HMOX1/FAM162A/MXD1/ABAT/JAG2/RRAD/ACVR1B/SLC19A2/ISCU/ERCC5/RETSAT/DRAM1/SLC7A11/VDR/HSPA4L/RCHY1/FAS/RGS16/CDKN1A/PTPN14/EPHX1/NOL8/ZMAT3/DDIT3/CCNG1/CGRRF1/WWP1/LIF/DGKA/CD81/SLC3A2/TCN2/ABCC5/S100A4/TRIB3/MXD4/PRMT2/BMP2/GM2A/TAX1BP3/TM7SF3/ZFP36L1"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",132,0.401756246217369,1.50541927854119,0.00810840130810895,0.0253387540878405,0.0149365287254639,3138,"tags=40%, list=25%, signal=30%","BHLHE40/ACVR2A/CDON/RUNX1/DAB2/SYNE1/TGFBR2/EFEMP1/COL3A1/VLDLR/ANXA4/COL1A2/RGS4/LAMC1/SDC2/CDC42BPA/ATRX/FYN/F3/ATRN/COL5A2/AKT3/SLC22A18/RASA2/PLCB4/CACNA1A/TFPI/GJA1/INSIG1/KIT/TGFBR3/CAV1/SERPINE1/BCKDHB/PMP22/BMPR1A/HAS2/FBLN5/SCN8A/SNAI2/PTEN/MAGI2/GCNT1/COL1A1/DUSP1/LDLR/DYRK1A/ARHGEF9/PRKCA/PTPRM/KCNMA1/NEK7/NR1D2"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",132,-0.331459283262786,-1.42082323164865,0.0142930109186981,0.0420382674079356,0.0247804523667831,1245,"tags=23%, list=10%, signal=21%","NXT1/CELSR2/CXCL12/SORD/PKP3/GAL/FKBP4/BCL2/GALE/SCARB1/PPIF/CD9/KRT19/HPRT1/EMP2/PRKAR2B/STIL/DUSP2/SLC29A1/SLC2A8/XRCC3/FABP5/CDC6/FKBP5/RNASEH2A/PLK4/GINS2/TOP2A/KIF20A/CDC20"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",95,0.406719883562552,1.44445762970116,0.0187544926489442,0.052095812913734,0.0307091107702011,1717,"tags=28%, list=14%, signal=25%","ITGB2/CCND2/IL16/TGFB2/IL6/HLA-DMA/CDKN2A/ACVR2A/IL12A/SRGN/INHBA/TLR3/TIMP1/UBE2D1/B2M/IFNGR2/CTSS/STAT4/STAT1/HDAC9/CSF1/BCL10/NCK1/GALNT1/IFNAR2/IL1B/INHBB"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",61,0.447583774043013,1.4840082955387,0.0228789679089328,0.0602078102866654,0.0354909197479291,1492,"tags=26%, list=12%, signal=23%","TENM2/TGFB2/RGS11/SERPINB2/WNT16/IDUA/BMPR1B/THNSL2/NTF3/CAMK1D/ADRA2C/COPZ2/SKIL/MX1/MAGIX/PLAG1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",55,0.449795539774307,1.46444457320741,0.037202380952381,0.0930059523809524,0.0548245614035088,2038,"tags=35%, list=16%, signal=29%","CSF2RB/CD36/IL6ST/IL6/A2M/OSMR/LEPR/STAT2/IFNGR2/STAT1/CSF1/IFNAR1/TNFRSF1B/IL1B/HMOX1/IL10RB/IL13RA1/ACVR1B/IL7"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",146,0.354430257282983,1.34869270239261,0.0401053945778214,0.0954890347090985,0.0562882730916791,1285,"tags=19%, list=10%, signal=17%","CSF2RB/IFI27/OAS2/IFI30/MX2/IL6/CFB/HLA-DMA/HERC6/CFH/AUTS2/C1S/TXNIP/SAMD9L/SERPING1/RTP4/IFIT3/EIF4E3/IFIH1/C1R/STAT2/B2M/XAF1/IFIT1/MX1/APOL6/STAT4/STAT1"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",180,-0.270053946593738,-1.19849654446692,0.0462740597829113,0.105168317688435,0.0619939556900247,1301,"tags=16%, list=10%, signal=14%","NFYC/PSMC4/PSMA3/ARPC5L/SORD/TUBA4A/SDF2L1/PDAP1/TMEM97/TUBG1/EBP/NUP205/RRP9/CD9/DHFR/HMBS/HPRT1/MLLT11/TOMM40/DDX39A/MCM4/MCM2/BUB1/CDC25A/CCNF/PLK1/RRM2/AURKA"
