"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ZNF747",55.2432870592673,-0.343856365607295,0.353052078751621,-0.973953663785688,0.330079546650007,0.421884395034182,"ZNF747"
"NMT1",440.293664152479,-0.344347026553128,0.157804413939465,-2.18211276831092,0.0291012110919263,0.0536629931932909,"NMT1"
"CHD1L",71.9660306878214,-0.344771327329407,0.46980924627202,-0.733853856783788,0.463037812427993,0.554936078120979,"CHD1L"
"SH2B2",19.4594165135736,-0.345149896161768,0.495189463026726,-0.697005736051254,0.485799204092833,0.576346238375548,"SH2B2"
"ACOT8",125.199438320605,-0.345597963075448,0.216464116734757,-1.59656005941588,0.110363807983637,0.168809157910456,"ACOT8"
"POLR1A",266.927055783571,-0.345788378928531,0.23771060414564,-1.45466114215365,0.145763095130625,0.21378587285825,"POLR1A"
"TP53INP2",176.923032157218,-0.345921145514152,0.21261175537932,-1.62700855790873,0.103735280233931,0.160414853362366,"TP53INP2"
"C17orf67",4.80462013698688,-0.346311460727056,1.15887056870562,-0.298835323010976,0.76506569786702,0.819114985109421,"C17orf67"
"TSR2",217.591662519445,-0.346421816632002,0.175598887356476,-1.9728018887087,0.0485181379121987,0.0833470633161662,"TSR2"
"DUS1L",44.072166728605,-0.346586041971465,0.36396590383852,-0.952248653833339,0.340970891370957,0.433371267964427,"DUS1L"
"RXRA",373.012800569306,-0.346747745615293,0.33206193647422,-1.04422611425147,0.296380787595658,0.385865283320067,"RXRA"
"ANKRD13A",1864.27656440437,-0.347620054226512,0.278454375781362,-1.24839142229698,0.211887748729247,0.29250229803625,"ANKRD13A"
"PGM2",77.4198715794935,-0.347944233313698,0.272659572834318,-1.27611229525811,0.201915825865257,0.280748895721569,"PGM2"
"EPS8L2",128.321915084478,-0.348110716601593,0.216449262408534,-1.60827859946483,0.107774175490332,0.165596799900328,"EPS8L2"
"CSNK1G3",9.99077967423708,-0.348248458815433,0.7288957034891,-0.477775430899683,0.632810049906309,0.710133038277958,"CSNK1G3"
