"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","log10padj","gene"
"ANKRD42",183.40214793533,-0.71103277655938,0.218226142642948,-3.2582383024693,0.00112106222428205,0.00803054637434553,2.09525490561908,"ANKRD42"
"ANKRD44",52.6575823513889,-1.01301698048333,0.606212585125238,-1.67105897393082,0.0947100298123784,0.241881714323423,0.616396962016798,"ANKRD44"
"ANKRD46",5.2306117531531,0.0174002837196101,0.78888412261173,0.0220568309348192,0.98240262201362,0.990400782462673,0.0041890252109859,"ANKRD46"
"ANKRD49",40.8226512027041,-0.201637673049576,0.260790352965022,-0.773179186872069,0.439416341939487,0.645277984853988,0.190253151597552,"ANKRD49"
"ANKRD5",13.3825134217264,-0.422353130109068,0.555509861878317,-0.760298167670665,0.447076376892116,0.65166895205732,0.185972969922596,"ANKRD5"
"ANKRD50",237.414280318857,-0.131955611129508,0.207439654764829,-0.636115651460681,0.524701044826875,0.712199914901245,0.147398082554382,"ANKRD50"
"ANKRD52",1077.19484299264,-0.132291125918832,0.144007861677912,-0.918638221395954,0.358284833160775,0.571304807549226,0.24313212132136,"ANKRD52"
"ANKRD53",9.9828758019022,-0.0361927116692526,0.570876732451202,-0.0633984704786446,0.949449205184185,0.974020716885338,0.0114318058182009,"ANKRD53"
"ANKRD54",246.224543415081,0.0903450096986784,0.178456820163543,0.506256973624676,0.612676263652269,0.778633324234991,0.10866701312535,"ANKRD54"
"ANKRD6",17.9782613213445,-1.65392151534756,1.09674783984228,-1.5080234993537,0.131548512765308,0.301266562152132,0.521049068388654,"ANKRD6"
"ANKRD9",53.2817912137767,-0.0877934404415392,0.353482680125373,-0.248367021576278,0.803850447265662,0.896191779472731,0.0475990440717203,"ANKRD9"
"ANKS1A",241.40304261417,0.56788284791916,0.142794000968096,3.97693771495374,6.9808440218624e-05,0.000786791067447032,3.10414057933288,"ANKS1A"
"ANKS3",58.8603850386288,0.754535910918392,0.314246436998682,2.40109615283103,0.0163460407264564,0.0670161471877535,1.17382054372241,"ANKS3"
"ANKS6",236.113903707951,-0.348635056163713,0.183983670703881,-1.89492390726804,0.0581024833615384,0.171225858718659,0.76643064707257,"ANKS6"
"ANKZF1",119.888214344745,0.215174546208707,0.198326511378917,1.08495099678127,0.277943359531318,0.489544779277458,0.310207576580684,"ANKZF1"
"ANLN",478.617958700344,2.58218029200208,0.17998836449782,14.3463734403418,1.12255719126847e-46,1.21629071673938e-43,42.9149626079698,"ANLN"
"ANO10",668.061487366568,0.0927869880809995,0.157932426032406,0.587510686766508,0.556860775242023,0.736551759887771,0.132796728463187,"ANO10"
"ANO3",12.6285536689104,1.17022778910617,0.707520489817279,1.65398430992208,0.0981307007007925,0.247939248059018,0.605654720241934,"ANO3"
"ANO4",55.3718539815036,0.776544901431926,0.251769826518755,3.08434458636004,0.00204001162620162,0.0130596903810307,1.88406711918681,"ANO4"
"ANO6",704.315556765119,-0.173703130338896,0.267770181729982,-0.648702290959557,0.516530823313419,0.706197030990649,0.151074112639657,"ANO6"
"ANO8",49.9595831068736,0.343865322115664,0.254721109133999,1.3499679052307,0.177026278029617,0.367624287963757,0.434595803651038,"ANO8"
