"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","log10padj","gene"
"ECD",302.525016188209,0.10357563022766,0.200887426470418,0.515590408257391,0.606140510881123,0.899232373509809,0.0461280663395332,"ECD"
"ECE1",2344.82299774209,0.214495339840584,0.153512661385683,1.39724852598112,0.162338848867154,0.579895215792386,0.236650474220465,"ECE1"
"ECHDC2",73.3521886918393,-0.480162143870424,0.244557518544169,-1.96339146197095,0.0496007051472776,0.325028687152855,0.48807830633692,"ECHDC2"
"ECHDC3",7.41314790738907,-0.094087955348027,0.619902018845875,-0.15177875291195,0.879361440683272,0.976387309620321,0.0103778738653408,"ECHDC3"
"ECHS1",1750.33155255579,0.105705070979756,0.181253913461418,0.583187799706494,0.559766883295065,0.883964551237043,0.0535651507231573,"ECHS1"
"ECI1",209.818712487867,-0.558809149011191,0.273207525784697,-2.04536513921496,0.0408188731302702,0.29587242864477,0.528895503394048,"ECI1"
"ECI2",610.786648145916,0.155894243288527,0.177938104523048,0.876115004745008,0.380967516456123,0.791635461004384,0.101474759976516,"ECI2"
"ECM1",4607.53540478536,-0.190681304529967,0.216602704242427,-0.880327441879725,0.378681950694546,0.790208542472132,0.102258279731191,"ECM1"
"ECM2",30.7938852682928,-2.42284336432577,0.349880100985204,-6.92478182526942,4.36647941969756e-12,1.08168825467567e-09,8.96589788597807,"ECM2"
"ECSCR",4.85351681002109,0.881077935651723,0.732708473221423,1.20249453616659,0.229171981762109,0.663135031350516,0.178398029062258,"ECSCR"
"ECSIT",140.920388150327,0.163825510072973,0.2098570822819,0.780652758017988,0.435006753059317,0.821506026629509,0.0853892462005086,"ECSIT"
"ECT2",235.137787030388,0.49932004721017,0.195626265832358,2.55241823016785,0.0106978017336063,0.128475310933823,0.891180322569194,"ECT2"
"EDA2R",5.77258731744688,0.0268694217140841,0.677670644328558,0.0396496763419738,0.968372422558677,0.993516346767956,0.00282498285440188,"EDA2R"
"EDARADD",10.125752219008,2.27841890834211,0.628269765798481,3.62649777591386,0.000287291292738068,0.00856046743503009,2.06750252049671,"EDARADD"
"EDC3",221.081858291684,0.0705790144305868,0.189452662947028,0.372541685784174,0.709489581110985,0.931582973161108,0.0307784578034711,"EDC3"
"EDC4",257.413228106556,0.131425012697165,0.218133823298942,0.602497176776907,0.546843241897307,0.877773405863581,0.0566175812281814,"EDC4"
"EDEM1",830.987225420729,0.361468017542332,0.125751409414607,2.8744649401945,0.00404712700245471,0.06649077054488,1.17723863408951,"EDEM1"
"EDEM2",426.596244682612,-0.110216328722078,0.20918393719999,-0.526887151075589,0.598271957116285,0.896554231939802,0.0474234351371095,"EDEM2"
"EDEM3",803.62717292812,0.373041808862137,0.128970276434325,2.89246343557386,0.00382233670572573,0.0636146049052346,1.19644316577313,"EDEM3"
"EDF1",1928.83041148777,-0.155088869961546,0.203338331604362,-0.762713398589817,0.445634338132449,0.827941099740523,0.0820005581034563,"EDF1"
"EDIL3",1190.54302759003,0.325101596467124,0.20657788483986,1.57374830669384,0.115545649128863,0.492994278216217,0.30715812119649,"EDIL3"
"EDN1",222.482453674422,1.03152633898702,0.232017782098069,4.44589345548959,8.75273231303171e-06,0.000499171686514719,3.30175005621655,"EDN1"
"EDNRA",102.569641332252,0.554010847971321,0.22103001432489,2.50649600536598,0.0121934435478913,0.139419155843046,0.855677551163541,"EDNRA"
"EEA1",171.115574103088,-0.196527068695523,0.260365690200601,-0.754811697901161,0.450361973969965,0.831787830743451,0.0799874377576065,"EEA1"
"EED",141.578300124057,0.364097607380952,0.251489917257223,1.44776224570687,0.147683554887283,0.555089006861174,0.25563737347305,"EED"
"EEF1A1",103316.782599371,-0.277427314921138,0.147998588626607,-1.87452676066441,0.0608578571640687,0.362725234815029,0.440422229476943,"EEF1A1"
"EEF1A2",15.4277413345339,-0.334404556135449,0.456452357457253,-0.732616560462757,0.463792327741408,0.837437797439609,0.0770474412845313,"EEF1A2"
"EEF1B2",4593.31134760919,-0.116152940528818,0.158845177513069,-0.731233660016283,0.464636443611645,0.837884217611978,0.0768159898736179,"EEF1B2"
"EEF1D",5013.02349679174,-0.0735950587354497,0.218986923739917,-0.336070562929392,0.736817656080518,0.938781188677014,0.0274356213908944,"EEF1D"
"EEF1E1",355.508689854726,0.338128928869992,0.192242747978437,1.75886441712703,0.0786005402385161,0.41178892814866,0.385325334523679,"EEF1E1"
"EEF1G",16698.0484827091,-0.161567977727629,0.15840479676245,-1.01996897208816,0.307743176396935,0.740789337604538,0.130305277207382,"EEF1G"
"EEF2",40858.4588068954,-0.181316216544643,0.232490655950087,-0.779886038015949,0.435457957322977,0.821639396576175,0.0853187450370715,"EEF2"
"EEF2K",564.446932707455,-0.0236421772204159,0.140847010827603,-0.167857145717874,0.866695664446527,0.975107285535524,0.0109475987088871,"EEF2K"
"EEFSEC",85.2134083599642,0.183730174424229,0.230309872609713,0.797752056142126,0.425014388571598,0.816177501932446,0.0882153807968297,"EEFSEC"
"EEPD1",35.0785800995433,-0.746273046448429,0.297158328904057,-2.51136506656482,0.012026525312241,0.138381712927917,0.858921297879526,"EEPD1"
"EFCAB11",29.3385567037456,-0.212293373676802,0.384042481575148,-0.552786173045445,0.58040983765376,0.892061313178593,0.0496052946597371,"EFCAB11"
"EFCAB4B",55.7535915506792,0.332388874752085,0.323659710872989,1.02697018994286,0.304434501202559,0.73776393708017,0.132082577504262,"EFCAB4B"
"EFCAB7",14.8859985199985,-0.529578276642268,0.446881648356912,-1.18505263885732,0.235996635119923,0.673174399866309,0.171872408156995,"EFCAB7"
"EFEMP1",4677.12647777927,-1.783381355875,0.148541392134832,-12.0059555807597,3.30622822076705e-33,6.96181455686182e-30,29.1572775492799,"EFEMP1"
"EFEMP2",25.7117772210568,-0.349675489513755,0.431045988965202,-0.811225480495039,0.417236195420196,0.810729328351086,0.0911241159790816,"EFEMP2"
"EFHA1",168.762336817701,0.00268557386424549,0.263219321029084,0.0102027991476688,0.991859485317357,0.998616301140094,0.000601348918392018,"EFHA1"
"EFHA2",51.0838670617908,-0.0054064422554677,0.361258876179032,-0.0149655624040318,0.988059654525086,0.997846477614021,0.000936271391818883,"EFHA2"
"EFHC1",55.2570190542479,-0.649886231978371,0.24224118091097,-2.68280657126264,0.00730072028998892,0.0996523696401082,1.00151236972428,"EFHC1"
"EFHD1",112.963583428393,0.391295763192511,0.246028357266854,1.5904498470804,0.111733441980436,0.486220760032531,0.313166502146131,"EFHD1"
"EFHD2",1499.34472428377,0.268989310750834,0.218000542528727,1.23389285013081,0.217242834136742,0.650442791945651,0.186790894697919,"EFHD2"
"EFNA3",19.6120109699746,-0.27687407812997,0.411739203638783,-0.672450122997932,0.501297182649531,0.854939066629883,0.0680648372828473,"EFNA3"
"EFNA5",65.9819040980926,-0.413529711794183,0.2600487157386,-1.59020093838826,0.111789519070644,0.486220760032531,0.313166502146131,"EFNA5"
"EFNB1",282.816525912921,-0.532657993971873,0.249119684327553,-2.13816100245018,0.0325036782708923,0.258103404988997,0.588206266055984,"EFNB1"
"EFNB2",294.407707552695,-1.00524059484721,0.331869420812423,-3.02902446506328,0.00245344813851132,0.0455532521607912,1.3414806122131,"EFNB2"
"EFNB3",12.2964692956582,-1.27005408276764,0.47989141084119,-2.64654472673598,0.00813187506822436,0.106513412689417,0.972595700298239,"EFNB3"
"EFR3A",395.829799338635,0.0341397448606816,0.148398869805892,0.230053941147508,0.818049854620555,0.961507290285244,0.0170474185303897,"EFR3A"
"EFR3B",22.1035975842493,1.39102763089618,0.392617858126611,3.54295557908015,0.000395669343959495,0.0110571016163402,1.95635869916089,"EFR3B"
"EFS",350.569112619101,-0.0486532389148679,0.21319000402901,-0.22821538531538,0.81947880125928,0.962291586124151,0.0166933114789047,"EFS"
"EFTUD1",320.545997944759,0.37227603230246,0.192600435244374,1.93289299595876,0.0532493808809492,0.337557791294487,0.471651863450152,"EFTUD1"
"EFTUD2",435.390085434969,-0.0140841143122541,0.273895976842792,-0.0514213990092229,0.958989733384551,0.991803887653931,0.00357419370235914,"EFTUD2"
"EGFL7",67.7295349740606,-0.370369562082853,0.257383956559131,-1.43897687732438,0.150157074150629,0.558088944712684,0.253296580417995,"EGFL7"
"EGFL8",43.9437271842936,0.032086704895838,0.377654195643544,0.0849631892508447,0.9322906555746,0.985323752930358,0.00642104766572475,"EGFL8"
"EGFR",1374.96353315724,0.0237716116672587,0.267281573304922,0.088938460565478,0.929130817538335,0.984536318702987,0.00676825847825823,"EGFR"
"EGLN1",399.658487190812,-0.0240145707052427,0.250066097474269,-0.0960328926943557,0.923494448688731,0.98322972167547,0.00734500180126785,"EGLN1"
"EGLN2",456.296553167915,0.225740985741974,0.212042211510145,1.06460399622447,0.28705517065976,0.724501375024127,0.139960785948743,"EGLN2"
"EGR1",1421.88023157972,-1.12933307054246,0.185039474872226,-6.10320079713958,1.03965094818333e-09,1.87642143990689e-07,6.72666961346733,"EGR1"
"EGR3",42.2158858193805,0.477916997561159,0.266130534988387,1.79579918396818,0.07252646057777,0.395467977099502,0.402888677607615,"EGR3"
"EHBP1L1",1390.97492614033,0.123692055717823,0.235612137385012,0.524981680021427,0.599595926434545,0.897537982718086,0.0469471635453771,"EHBP1L1"
"EHD1",2560.47912273705,0.0496985700685983,0.195736771336083,0.253905128450623,0.799568852671859,0.955323886098099,0.0198493633922009,"EHD1"
