"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"APEX1",1324.1962122846,-0.904791979372398,0.232564283278592,-3.89050273161908,0.000100036750758566,0.000583172440917302,"APEX1"
"TAZ",113.262834692328,-0.904949532420043,0.267160465818575,-3.38728834615291,0.000705871578520203,0.0032563490378044,"TAZ"
"C1QL1",8.18064913177929,-0.905068416491329,0.768865890800805,-1.17714731180058,0.239136714070929,0.371823449915028,"C1QL1"
"TNFAIP6",53.2038731983086,-0.905133730135458,0.336923600507708,-2.68646580047084,0.00722123402886994,0.0233679771491777,"TNFAIP6"
"CHMP6",240.472702196672,-0.905342978665671,0.263098930309236,-3.44107434264961,0.000579409313944764,0.00274069459682184,"CHMP6"
"BCAS2",780.01037346514,-0.905354998913472,0.211478789787144,-4.28106761829269,1.85998826244155e-05,0.000131139505770254,"BCAS2"
"SKA2",282.523239098261,-0.905720166152454,0.252392027784597,-3.58854506658759,0.000332528518024485,0.00167398628411295,"SKA2"
"CHURC1",15.7166860534973,-0.905869729452847,0.583354962254298,-1.55286195895589,0.12045611662441,0.221231342413949,"CHURC1"
"EIF4H",8130.90100099103,-0.905902663553696,0.226908001858799,-3.99237865625128,6.54138082150337e-05,0.000400466300075732,"EIF4H"
"KIAA0664",606.782357319358,-0.906003042165623,0.189212565130446,-4.78828158976129,1.68215505175779e-06,1.50551690845262e-05,"KIAA0664"
"LSM5",33.1819788393563,-0.906481308729154,0.46872146027783,-1.93394453966722,0.0531199471176939,0.117303853988281,"LSM5"
"PDCD2L",55.9454867901313,-0.906775073498215,0.356614333063055,-2.54273311369648,0.0109989205134741,0.0330932432993125,"PDCD2L"
"PCBP1",5055.82283358558,-0.906960120744445,0.225716971168564,-4.01812994410213,5.86618462090084e-05,0.000364225778003193,"PCBP1"
"MMS22L",66.5562932198989,-0.908438110887997,0.396144128433285,-2.29320099853755,0.0218364356956829,0.0577948290748512,"MMS22L"
"PMEL",5.78551111372771,-0.908489168929277,0.878909680222251,-1.03365475358008,0.301297592577316,0.444056177842145,"PMEL"
"SLC17A9",45.4782579457557,-0.908667149476912,0.4079272911233,-2.22752232873347,0.0259123852060804,0.0661146121130613,"SLC17A9"
"FOXP4",329.870707649226,-0.908800983361222,0.198049830650872,-4.58874910609383,4.45909971513272e-06,3.61151709112836e-05,"FOXP4"
"IL17RE",28.2954591716629,-0.908888499017257,0.432234926801237,-2.10276505358673,0.0354863122525161,0.0849088968319537,"IL17RE"
"TRDMT1",36.695832539631,-0.909007545996489,0.395160014929786,-2.30035305104947,0.0214282263816601,0.0569162036437104,"TRDMT1"
"INO80E",410.555301018368,-0.909532026359902,0.22892432798192,-3.97306845619193,7.0952646677889e-05,0.000430019120816184,"INO80E"
"ITGB3",117.823520909183,-0.909676467465312,0.316615455738478,-2.87312716728743,0.00406430481890283,0.0144320348228024,"ITGB3"
"DKK1",3613.13588964767,-0.910332761692626,0.341518799533475,-2.66554216908752,0.0076864291127032,0.0246023888699411,"DKK1"
"EBPL",433.213399566324,-0.910491906307547,0.212744390944264,-4.27974576564082,1.87106922915297e-05,0.000131774359529303,"EBPL"
"MBD3",122.598434137393,-0.910712885089337,0.304989392208938,-2.98604773921264,0.00282608520971023,0.0106237699633983,"MBD3"
"MYO19",110.463814484577,-0.910728512958343,0.335334455869186,-2.715881106216,0.00660996508388644,0.0217667690734014,"MYO19"
"RPSAP58",25.1058987560028,-0.911925032878612,0.515310839120071,-1.76966010347422,0.0767837798896042,0.156530973322366,"RPSAP58"
"H3F3B",8801.07163945581,-0.912066417619527,0.192887721172588,-4.72848355548484,2.26202942796727e-06,1.95288540614507e-05,"H3F3B"
"HSPBP1",830.68392144019,-0.912543447294007,0.249847617374681,-3.6524000384023,0.000259800741183585,0.00134741773860273,"HSPBP1"
"HEATR2",611.2056503213,-0.913022383934194,0.218000075843962,-4.18817461599284,2.81207122916269e-05,0.000190437545193723,"HEATR2"
"SMTN",1733.53755138807,-0.91309159769483,0.227746749024085,-4.00924097317528,6.09142308072718e-05,0.000376186132931916,"SMTN"
"ANKRD9",57.3194711663005,-0.91313822884742,0.351059001603402,-2.60109618234205,0.00929263962697355,0.0287048034153762,"ANKRD9"
"SDF2L1",87.8399233044995,-0.913297904744743,0.306871567008879,-2.97615681259358,0.00291885569283686,0.0109279268988365,"SDF2L1"
"MBOAT7",2425.08349417795,-0.913706773118828,0.230354801440484,-3.96651933193977,7.29298628087857e-05,0.000440739470907762,"MBOAT7"
"CSK",665.969548725412,-0.914091626392269,0.188965842765895,-4.83733786494269,1.315896446841e-06,1.20839665751514e-05,"CSK"
"FUS",1049.89863838115,-0.914179037027319,0.237973829523434,-3.8415108033436,0.000122279353203124,0.000695895637444325,"FUS"
"TMEM160",306.749678551447,-0.914581864244117,0.248296208395969,-3.68343064983736,0.000230115909523608,0.0012137992550973,"TMEM160"
"LOC100506233",30.0278352895755,-0.915550271328675,0.439998697512304,-2.08080223079086,0.0374520118998683,0.0888260938802639,"LOC100506233"
"PROSER1",213.228930339477,-0.916523494723224,0.248388707796641,-3.68987585165745,0.000224363518637592,0.00118592145565584,"PROSER1"
"S1PR3",233.448285806147,-0.91710292359785,0.308152188836252,-2.97613632751181,0.00291905068056543,0.0109279268988365,"S1PR3"
"EHD4",341.353210565057,-0.917723299317844,0.213645274028617,-4.29554692230131,1.74263171565082e-05,0.000123413722674802,"EHD4"
"TRIM28",4028.82136609609,-0.919139227543284,0.18237583375528,-5.03980822797293,4.65998556905267e-07,4.6640281432845e-06,"TRIM28"
"TYRO3",207.330333406227,-0.919418876151654,0.259229421201687,-3.54673814372453,0.000390032054019293,0.00192378421980523,"TYRO3"
"EXOSC4",295.099699217949,-0.919431137764945,0.216786669920828,-4.24117930360168,2.22348416878803e-05,0.000153777861504572,"EXOSC4"
"IMPDH1",955.241328633687,-0.919950290465217,0.212380514969812,-4.331613427889,1.48020658959006e-05,0.00010691691422019,"IMPDH1"
"CREM",11.719259331203,-0.919953761847817,0.687940773368204,-1.33725721379133,0.181138692005701,0.302358429599414,"CREM"
"WDR4",18.131179338648,-0.920273874554622,0.610787693892609,-1.50670009195769,0.131887547986359,0.237248032812882,"WDR4"
"EXOSC5",145.998480872829,-0.921247005480321,0.241232565554445,-3.81891641936047,0.000134039164706792,0.000754698775196935,"EXOSC5"
